COUNTY_ID,COUNTY,TOWN_ID,TOWN,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
"66000","臺中市","66000260","霧峰區",102.6500000000000000,2.84,645.83,44.23,15.71,28.52,181.48,"113Y12M"
"66000","臺中市","66000270","太平區",96.5000000000000000,2.65,1656.41,40.65,18.50,22.15,119.74,"113Y12M"
"66000","臺中市","66000280","大里區",94.8600000000000000,2.73,7347.54,41.10,19.00,22.09,116.25,"113Y12M"
"66000","臺中市","66000290","和平區",113.8900000000000000,2.25,10.27,46.90,14.21,32.69,229.97,"113Y12M"
"67000","臺南市","67000010","新營區",96.1200000000000000,2.43,1940.44,48.59,17.43,31.16,178.82,"113Y12M"
"67000","臺南市","67000020","鹽水區",108.3000000000000000,2.33,458.78,48.47,13.12,35.35,269.45,"113Y12M"
"67000","臺南市","67000030","白河區",108.9600000000000000,2.40,200.89,56.32,11.23,45.09,401.59,"113Y12M"
"67000","臺南市","67000040","柳營區",108.6000000000000000,2.44,326.42,48.19,11.55,36.64,317.32,"113Y12M"
"67000","臺南市","67000050","後壁區",105.9800000000000000,2.39,294.83,55.97,10.22,45.75,447.74,"113Y12M"
"67000","臺南市","67000060","東山區",114.3900000000000000,2.33,150.79,53.24,10.20,43.04,421.85,"113Y12M"
"67000","臺南市","67000070","麻豆區",102.4000000000000000,2.52,797.34,49.95,15.72,34.23,217.80,"113Y12M"
"67000","臺南市","67000080","下營區",106.4000000000000000,2.35,658.44,51.99,13.03,38.96,298.94,"113Y12M"
"67000","臺南市","67000090","六甲區",106.2300000000000000,2.53,312.52,48.05,13.98,34.07,243.75,"113Y12M"
"67000","臺南市","67000100","官田區",104.2400000000000000,2.45,291.95,42.04,11.98,30.05,250.75,"113Y12M"
"67000","臺南市","67000110","大內區",115.2900000000000000,2.36,122.14,56.03,9.25,46.78,505.89,"113Y12M"
"67000","臺南市","67000120","佳里區",96.8000000000000000,2.58,1501.46,46.19,16.43,29.76,181.17,"113Y12M"
"67000","臺南市","67000130","學甲區",105.3800000000000000,2.44,454.46,45.33,12.44,32.88,264.26,"113Y12M"
"67000","臺南市","67000140","西港區",101.4200000000000000,2.68,740.50,43.32,14.44,28.88,200.04,"113Y12M"
"67000","臺南市","67000150","七股區",107.0400000000000000,2.61,188.47,45.04,10.84,34.20,315.40,"113Y12M"
"67000","臺南市","67000160","將軍區",104.0900000000000000,2.55,430.45,47.03,8.90,38.13,428.34,"113Y12M"
"67000","臺南市","67000170","北門區",101.6600000000000000,2.46,220.23,42.09,8.09,34.00,420.25,"113Y12M"
"67000","臺南市","67000180","新化區",101.8200000000000000,2.71,681.49,45.02,14.56,30.46,209.14,"113Y12M"
"67000","臺南市","67000190","善化區",100.9500000000000000,2.45,963.66,47.63,23.24,24.39,104.97,"113Y12M"
"67000","臺南市","67000200","新市區",100.7000000000000000,2.57,793.00,42.51,19.26,23.25,120.71,"113Y12M"
"67000","臺南市","67000210","安定區",105.7100000000000000,2.63,954.33,40.54,13.89,26.65,191.80,"113Y12M"
"67000","臺南市","67000220","山上區",111.3000000000000000,2.50,248.08,47.27,11.80,35.48,300.72,"113Y12M"
"67000","臺南市","67000230","玉井區",106.9400000000000000,2.44,168.01,54.97,12.01,42.96,357.85,"113Y12M"
"67000","臺南市","67000240","楠西區",112.1900000000000000,2.46,77.82,52.71,8.65,44.07,509.73,"113Y12M"
"67000","臺南市","67000250","南化區",115.9200000000000000,2.81,45.39,54.12,10.49,43.63,415.85,"113Y12M"
"67000","臺南市","67000260","左鎮區",134.3200000000000000,2.29,55.06,58.31,6.30,52.02,826.22,"113Y12M"
"67000","臺南市","67000270","仁德區",100.7200000000000000,2.50,1528.06,41.15,15.04,26.12,173.71,"113Y12M"
